cliente_id,nombre,email,region,comuna,segmento_rfm,fecha_registro,canal_adquisicion
125,Ingrid Martina Aravena Chandía,antonietacornejo@example.net,Metropolitana,Providencia,At Risk,2024-11-22,Google Ads
126,Franco Navarro Segovia,usuarez@example.org,Valparaíso,Villa Alemana,Loyal,2024-06-30,Facebook/Instagram
127,Wilson Jorge Ortega Ávila,denissetorres@example.org,Valparaíso,Villa Alemana,New,2025-06-27,Email Marketing
128,Catalina Priscila Ramírez Morales,paola06@example.net,O'Higgins,Rancagua,Lost,2023-01-29,Facebook/Instagram
129,Sergio Edward Andrade Gutiérrez,nmendez@example.com,Metropolitana,Providencia,Champions,2023-11-30,Referido
130,Paz Gutiérrez San Martín,luis20@example.net,Metropolitana,Estación Central,Potential,2024-12-21,Orgánico
131,Felipe Marcelo Casanova Sánchez,sofia31@example.com,Metropolitana,La Reina,At Risk,2023-01-27,Referido
132,Alejandra Eva Reyes Villagra,taguilera@example.com,Los Lagos,Osorno,Potential,2023-12-16,Email Marketing
133,María Cecilia Mancilla Moreno,sebastian56@example.org,Biobío,Hualpén,At Risk,2024-04-06,TikTok
134,Norma Flavia Sepúlveda Yáñez,paulina34@example.com,Metropolitana,Las Condes,New,2023-03-14,Google Ads
135,Alexander Cornejo,bryan96@example.com,Metropolitana,Santiago,Loyal,2024-08-28,Facebook/Instagram
136,Jorge Belmar Manríquez,elizabethtoro@example.com,La Araucanía,Angol,At Risk,2025-01-04,Orgánico
137,Nelson Felipe Araya Soto,gutierrezjuan@example.org,Metropolitana,San Miguel,Champions,2023-12-09,Email Marketing
138,Jorge Zúñiga,luzzuniga@example.org,Maule,Curicó,Loyal,2024-02-04,Facebook/Instagram
139,Maximiliano Víctor Zenteno Bustos,ossesjose@example.net,La Araucanía,Victoria,Loyal,2023-11-03,Referido
140,Rodrigo Mateo Romero Henríquez,juancisterna@example.com,Metropolitana,Estación Central,Loyal,2023-09-25,Orgánico
141,Camila Contreras Flores,oscarorrego@example.org,Metropolitana,Providencia,At Risk,2024-02-03,TikTok
142,René Castañeda Pacheco,anaquinteros@example.org,Los Ríos,Río Bueno,Champions,2024-01-30,TikTok
143,Alejandrina Cuevas Belmar,leivacarmen@example.com,Metropolitana,Macul,Lost,2023-12-06,Facebook/Instagram
144,José Gómez-Rivas,caceresrafael@example.org,Metropolitana,Vitacura,At Risk,2025-01-07,Referido
145,Rebeca Tania Meza Rivera,acunamaximo@example.org,Maule,Constitución,Lost,2024-01-17,Google Ads
146,Jonathan Rafael Coronado Aburto,godoymartina@example.com,Antofagasta,Taltal,New,2023-03-23,Email Marketing
147,Samuel Luis Carvajal García,dsepulveda@example.com,Los Ríos,La Unión,Loyal,2023-03-30,Orgánico
148,Alicia Veas Flores,maritzaponce@example.net,Los Lagos,Puerto Varas,Potential,2024-10-22,Facebook/Instagram
149,Laura Marion Burgos Vargas,rojasjose@example.com,Metropolitana,La Reina,Loyal,2024-11-25,Facebook/Instagram
150,Yamilet Arteaga Herrera,joseoyarzo@example.net,Metropolitana,La Florida,Loyal,2023-05-09,TikTok
151,Emily Alicia Ruiz Fuentes,michelleojeda@example.com,Los Lagos,Ancud,Hibernating,2023-12-30,Email Marketing
152,Aldo Alfredo Rojas Pizarro,gilberto46@example.org,Biobío,Hualpén,Lost,2024-11-15,Google Ads
153,Margarita María Ibarra Flores,quezadatrinidad@example.org,Valparaíso,Villa Alemana,Champions,2024-11-16,Facebook/Instagram
154,Marcelo Iván Marín Rubilar,grojas@example.org,O'Higgins,Rengo,Champions,2024-11-04,Referido
155,Juan Mardones,jjara@example.com,Metropolitana,Maipú,Loyal,2023-07-21,Google Ads
156,Claudia Marcela Carrasco Contreras,dianatorres@example.com,Valparaíso,Viña del Mar,Champions,2024-03-02,Email Marketing
157,Manuel Farías Pérez,florenciavillegas@example.org,Metropolitana,Estación Central,Potential,2023-03-21,Referido
158,Ana Segovia,jfarias@example.com,Valparaíso,Villa Alemana,At Risk,2023-05-11,TikTok
159,Víctor Valencia,moralesmarina@example.net,Metropolitana,Puente Alto,Hibernating,2023-02-15,Referido
160,Ana López Véliz,patriciogallardo@example.org,Metropolitana,Lo Barnechea,Lost,2025-03-12,TikTok
161,Jorge Álvaro Muñoz González,vegaangel@example.com,Metropolitana,Vitacura,Loyal,2024-05-29,Orgánico
162,Claudio González,juan35@example.com,Biobío,Los Ángeles,Champions,2023-04-07,Facebook/Instagram
163,Susan Oyarzún,garciamarjorie@example.org,Los Lagos,Puerto Varas,Lost,2024-04-11,Orgánico
164,Sandra López Contreras,hmena@example.net,Biobío,Hualpén,Champions,2024-06-12,Orgánico
165,José Ian Peña Martínez,maria23@example.org,Coquimbo,Illapel,Hibernating,2024-02-13,TikTok
166,Ismael Guevara,kimberlysalas@example.org,Metropolitana,Providencia,Champions,2024-02-20,Referido
167,Juliana Urrutia-Urbina Cortés,felipeguerra@example.org,Metropolitana,La Florida,Lost,2025-05-03,Facebook/Instagram
168,Jorge Cristian Navarro Huerta,yorellana@example.net,O'Higgins,Santa Cruz,Champions,2024-03-15,TikTok
169,Matías Pablo Salazar Briones,alejandro51@example.net,Metropolitana,Maipú,Champions,2025-01-29,TikTok
170,Noelia Valdés Lagos,villagraclaudio@example.org,Coquimbo,Illapel,Champions,2025-01-24,Facebook/Instagram
171,Rodrigo Leyton Bastías,fernandezjosefa@example.net,Metropolitana,Quilicura,New,2023-09-16,Referido
172,Sergio José Orellana Peña,jacquelinehernandez@example.org,Coquimbo,La Serena,New,2024-01-04,Email Marketing
173,Diego Cavieres,lmunoz@example.net,Metropolitana,San Miguel,Lost,2024-07-26,TikTok
174,Lian Torres Fernández,magalybustamante@example.org,O'Higgins,San Fernando,Potential,2024-05-30,TikTok
175,Víctor Juan Aguilar Lizana,osalazar@example.net,Valparaíso,Valparaíso,Potential,2024-04-03,TikTok
176,Scarlette Katalina Pino Araya,emilia01@example.org,Los Ríos,Valdivia,Champions,2023-12-31,Referido
177,Yasmín Parraguez,hroa@example.com,Metropolitana,La Florida,At Risk,2024-09-26,Orgánico
178,Mauricio Jorge Acuña Gutiérrez,julia01@example.net,Biobío,Concepción,Potential,2024-03-29,Facebook/Instagram
179,Carlos Valenzuela Sáez,antonieta63@example.com,Coquimbo,Illapel,Loyal,2023-10-02,Google Ads
180,Fernanda Sofía Osses Gutiérrez,maria85@example.com,Valparaíso,Villa Alemana,Champions,2024-04-14,Email Marketing
181,Karla González,orellanajacqueline@example.com,Biobío,Talcahuano,At Risk,2023-02-04,Google Ads
182,Gabriel Francisco Sánchez Brito,elizabethdiaz@example.net,La Araucanía,Victoria,At Risk,2024-02-29,Referido
183,Juan Díaz,fernando23@example.net,Valparaíso,Viña del Mar,Champions,2025-03-15,Referido
184,Patricia Carrasco,iserrano@example.org,Biobío,Talcahuano,At Risk,2023-05-24,Google Ads
185,María Ivette Ibarra Urra,julia12@example.org,Biobío,Chiguayante,At Risk,2025-06-08,Referido
186,Ricardo Rojas,karen70@example.org,O'Higgins,Rancagua,Lost,2024-11-13,Referido
187,Orlando Carvajal Fernández,smorales@example.org,Metropolitana,San Miguel,Champions,2025-01-31,Email Marketing
188,Eugenia María Arancibia Vásquez,luis30@example.org,Metropolitana,Vitacura,Lost,2025-06-14,Facebook/Instagram
189,Brígida Juana Sandoval Carrasco,guerrerofrancisco@example.org,Coquimbo,Ovalle,Loyal,2025-03-09,TikTok
190,Jorge Eduardo Mardones Aburto,manuelsan-martin@example.org,O'Higgins,Pichilemu,Lost,2023-07-09,Referido
191,Eduardo Juan Sandoval Cabello,scarrasco@example.net,Valparaíso,Viña del Mar,Lost,2024-07-11,Referido
192,Carlos Pacheco,cvera@example.org,Biobío,Concepción,Champions,2024-08-31,Google Ads
193,Bárbara Barra Rosales,eduardo18@example.com,Metropolitana,Maipú,At Risk,2025-04-22,Email Marketing
194,Gabriel Diego Troncoso Quispe,allendejorge@example.org,Metropolitana,Macul,Champions,2024-08-31,Facebook/Instagram
195,Paola Karen Martínez Mercado,francisca49@example.net,Valparaíso,Villa Alemana,At Risk,2025-03-19,Facebook/Instagram
196,Claudio Freddy Miranda Martínez,jose84@example.net,Metropolitana,Estación Central,Lost,2024-11-07,TikTok
197,Emma Cortez,sanchezpatricio@example.com,Biobío,Concepción,New,2025-03-10,Email Marketing
198,Daniela Lobos,zleiva@example.com,Metropolitana,Estación Central,New,2024-04-04,Facebook/Instagram
199,Sebastián Mauricio Lagos Rivas,urrafrancisco@example.net,Coquimbo,Coquimbo,New,2023-08-02,Email Marketing
200,José Camilo Erices Morales,vicentemoreno@example.com,Los Ríos,La Unión,Champions,2023-11-17,TikTok
201,Mónica Yesica Villanueva Orellana,sierrafernanda@example.com,La Araucanía,Villarrica,Champions,2025-03-06,TikTok
202,Beatriz Amaya Celis Rojas,jorge81@example.org,Valparaíso,Viña del Mar,New,2025-02-08,TikTok
203,Javiera Rivas Astudillo,cmorales@example.com,Metropolitana,San Miguel,Champions,2023-09-25,TikTok
204,Katherine Claudia Díaz Ávila,florenciarubilar@example.net,Maule,Cauquenes,New,2023-03-19,Orgánico
205,Rodrigo Sebastián Marambio Sandoval,arayaromina@example.com,La Araucanía,Padre Las Casas,Champions,2024-04-09,Orgánico
206,Alejandro Rivera Zapata,florescristina@example.com,Metropolitana,Maipú,At Risk,2023-09-03,TikTok
207,Clorinda Castillo,zlopez@example.com,Antofagasta,Calama,Potential,2025-05-16,Google Ads
208,Manuel Córdova Córdova,mcastillo@example.com,Maule,Linares,Hibernating,2024-07-06,Email Marketing
209,Cristian Emilio Navarrete Araya,juliogarrido@example.net,Antofagasta,Tocopilla,At Risk,2023-06-03,Google Ads
210,Daniel Cifuentes,nmunoz@example.com,La Araucanía,Angol,Lost,2025-02-03,Facebook/Instagram
211,Sebastián Domingo Vera Vallejos,andres27@example.com,Biobío,Chiguayante,New,2024-09-03,Orgánico
212,María Guadalupe Jiménez Martínez,daniela87@example.net,Valparaíso,Valparaíso,New,2024-12-09,Google Ads
213,Eduardo Galaz Retamales,juanossandon@example.org,Antofagasta,Calama,Champions,2023-03-05,TikTok
214,Elizabeth Suazo Palma,marcoquiroga@example.org,O'Higgins,Santa Cruz,Lost,2024-01-30,Email Marketing
215,Teodoro Joseph Martínez Zapata,albaherrera@example.net,Metropolitana,Lo Barnechea,Champions,2024-06-06,Referido
216,María Sonia Escobar Araya,rodrigo62@example.net,Metropolitana,La Reina,Hibernating,2023-04-27,Orgánico
217,Patricio Sergio Hernández Ibarra,camilavega@example.com,Metropolitana,San Miguel,Hibernating,2024-05-21,TikTok
218,Alejandra Mia Morales Gutiérrez,zfuentealba@example.com,Maule,Constitución,Loyal,2023-01-12,Referido
219,Paola Angelina Álvarez Riffo,tcardenas@example.com,Los Ríos,Panguipulli,Lost,2023-11-18,Orgánico
220,Patricia Rodríguez Fuenzalida,james26@example.net,Metropolitana,Vitacura,Champions,2023-05-02,Orgánico
221,José Bustos Acuña,jrojas@example.com,Biobío,Los Ángeles,At Risk,2023-05-03,Facebook/Instagram
222,Elena Viviana Valencia Carrasco,maria33@example.org,Metropolitana,Ñuñoa,At Risk,2023-06-08,TikTok
223,Julio Jorquera Maldonado,luis10@example.org,Coquimbo,Illapel,Lost,2023-01-17,TikTok
224,María Alejandra Navarro Sepúlveda,romina05@example.com,Maule,Cauquenes,Potential,2024-07-17,Orgánico
225,María Galaz Rodríguez,edgardogarcia@example.org,Maule,Talca,New,2024-04-09,Facebook/Instagram
226,Karen Espinoza,ana61@example.net,Valparaíso,Valparaíso,Champions,2023-07-04,Orgánico
227,María Gabriela Sandoval Orrego,xorellana@example.com,Valparaíso,San Antonio,Champions,2024-01-08,Google Ads
228,Ignacio José Sanhueza Navarro,patriciabenitez@example.com,Metropolitana,Maipú,New,2023-07-25,TikTok
229,Carolina Tapia Parra,saraflores@example.com,Metropolitana,Macul,Champions,2024-08-24,Email Marketing
230,Horacio Manuel Gómez Quiroga,javieraosorio@example.org,O'Higgins,San Fernando,Champions,2023-04-15,Referido
231,Vicente Muñoz,raquelnunez@example.com,Maule,Cauquenes,Loyal,2023-03-16,Email Marketing
232,María Gutiérrez,juan08@example.org,Los Ríos,Panguipulli,At Risk,2024-08-04,Orgánico
233,Exequiel José Jorquera Vargas,mauro22@example.org,Los Ríos,La Unión,Lost,2024-06-04,Referido
234,Valentín Rodrigo Barría Vásquez,gallardomiguel@example.org,Biobío,Talcahuano,Hibernating,2023-02-13,Facebook/Instagram
235,Eliana Paola Pérez Durán,josefa12@example.org,Los Lagos,Castro,At Risk,2024-09-05,Email Marketing
236,Gilda Allendes Ávila,lopezalejandro@example.com,Antofagasta,Tocopilla,Lost,2023-02-28,Orgánico
237,Fidel Juan Velásquez Vásquez,vmunoz@example.com,Maule,Curicó,Champions,2023-02-01,Orgánico
238,Alejandra Rosa Figueroa Castro,david76@example.com,Metropolitana,Estación Central,New,2024-03-04,Referido
239,Rosa Oñate,ocontreras@example.org,Valparaíso,Viña del Mar,At Risk,2024-08-30,TikTok
240,Gustavo Sandoval-Galdames Jara,zamoranoema@example.org,Metropolitana,Las Condes,New,2023-09-20,Orgánico
241,Carlos Beltrán Fierro,heribertocastro@example.net,Coquimbo,Coquimbo,Loyal,2024-02-22,Google Ads
242,Manuel Cárcamo,manuelsoto@example.org,Biobío,Talcahuano,At Risk,2023-01-29,Orgánico
243,Héctor Juan Ortega Castro,martina49@example.net,Metropolitana,La Reina,New,2023-03-11,Google Ads
244,Lukas Abraham Garrido Paredes,jiturra@example.com,La Araucanía,Padre Las Casas,At Risk,2023-11-03,Facebook/Instagram
245,Cristian Suazo Barra,rojasmaximiliano@example.com,Biobío,Los Ángeles,Loyal,2024-05-13,Orgánico
